href,title,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/thoi-han-ke-khai-hoa-don-gtgt-dau-vao.html,Thời hạn kê khai thuế GTGT đầu vào - đầu ra,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/thoi-han-nop-mau-06-gtgt-dang-ky-ke-khai-thue.html,Thời hạn nộp mẫu 06/GTGT đăng ký kê khai thuế,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/thoi-hieu-xu-phat-vi-pham-hanh-chinh-ve-hoa-don.html,Thời hiệu xử phạt vi phạm hành chính về hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/thu-ho-chi-ho-co-phai-xuat-hoa-don-khong.html,Thu hộ chi hộ có phải xuất hóa đơn không?,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
thu-vien/thu-tuc-dat-in-hoa-don-gtgt-lan-dau.html,Thủ tục đặt in hóa đơn GTGT lần đầu năm 2018,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/thu-tuc-hoan-thue-gia-tri-gia-tang-moi-nhat.html,Hồ sơ và Thủ tục hoàn thuế giá trị gia tăng mới nhất năm 2025,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/thu-tuc-huy-hoa-don-gia-tri-gia-tang.html,Hồ sơ hủy hóa đơn giấy chuyển sang hóa đơn điện tử,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/thu-tuc-phat-hanh-hoa-don-dien-tu-lan-dau-qua-mang.html,Thủ tục phát hành hóa đơn điện tử lần đầu qua mạng,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/thu-tuc-thong-bao-ngung-su-dung-hoa-don-dien-tu.html,Thủ tục thông báo ngừng sử dụng hóa đơn điện tử 2025 mới nhất,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/thu-tuc-thong-bao-phat-hanh-hoa-don-lan-dau.html,Thủ tục thông báo phát hành hóa đơn lần đầu năm 2018,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/thue-gtgt-doi-voi-to-chuc-ca-nhan-nuoc-ngoai-kinh-doanh-tai-viet-nam.html,"Thuế GTGT đối với tổ chức, cá nhân nước ngoài kinh doanh tại Việt Nam",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/thue-suat-khi-thanh-ly-tai-san-co-dinh.html,"Thanh lý Tài sản cố định có phải xuất hóa đơn, thuế suất?",gtgt-hoa-don,GTGT - Hóa đơn,thue-suat-doi-tuong,Thuế suất/Đối tượng chịu thuế,rule-thuesuat
thu-vien/thue-suat-thue-gia-tri-gia-tang-doi-voi-phan-mem-nhu-the-nao.html,Thuế suất thuế giá trị gia tăng đối với phần mềm như thế nào,gtgt-hoa-don,GTGT - Hóa đơn,thue-suat-doi-tuong,Thuế suất/Đối tượng chịu thuế,rule-thuesuat
thu-vien/thue-suat-thue-gtgt-doi-voi-san-pham-tu-san-xuat-hoac-thuong-mai.html,Thuế suất thuế GTGT đối với sản phẩm tự sản xuất hoặc thương mại,gtgt-hoa-don,GTGT - Hóa đơn,thue-suat-doi-tuong,Thuế suất/Đối tượng chịu thuế,rule-thuesuat
thu-vien/tien-ho-tro-van-chuyen-co-xuat-hoa-don-chi-phi-duoc-tru-khong.html,"Tiền hỗ trợ vận chuyển có xuất hóa đơn, tính vào chi phí được trừ không?",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
thu-vien/tien-lai-chi-vay-co-chiu-thue-gtgt-co-phai-nop-thue-tncn.html,"Tiền lãi vay có phải nộp thuế TNCN, có chịu thuế GTGT?",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/tinh-thue-gtgt-cho-cong-ty-ke-khai-theo-phuong-phap-truc-tiep.html,Tính thuế GTGT cho Công ty kê khai theo phương pháp trực tiếp như thế nào,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/ty-gia-ghi-tren-hoa-don-khi-xuat-trong-khu-che-xuat.html,Tỷ giá ghi trên hóa đơn GTGT năm 2016 theo TT 26,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/uy-nhiem-lap-hoa-don-dien-tu.html,Ủy nhiệm lập hóa đơn điện tử theo Nghị định 70/2025 và Thông tư 32/2025,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/ve-cuoc-duong-bo-co-duoc-khau-tru-thue-hach-toan.html,Vé cước phí đường bộ có được khấu trừ thuế GTGT không?,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/xu-ly-chi-phi-mua-hang-khong-co-hoa-don-gtgt-dau-vao.html,Chi phí mua hàng dịch vụ của cá nhân không có hoá đơn,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/xu-ly-hoa-don-dau-vao-cua-cong-ty-bo-tron-ngung-hoat-dong.html,"Cách xử lý hóa đơn công ty bỏ trốn, ngừng hoạt động",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/xu-ly-hoa-don-dien-tu-khong-co-ma-lap-sai-sot.html,Xử lý khi lập sai hóa đơn điện tử KHÔNG có mã của CQT 2025 mới nhất,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/xu-ly-hoa-don-dien-tu-sai-dia-chi-nguoi-mua.html,Xử lý hóa đơn điện tử sai địa chỉ người mua 2026 theo Nghị định 70,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/xu-ly-hoa-don-dien-tu-viet-sai-cac-truong-hop.html,Cách xử lý hóa đơn điện tử có sai sót mới nhất năm 2026,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/xu-ly-hoa-don-khi-thay-doi-dia-chi-cong-ty.html,Xử lý hóa đơn khi thay đổi địa chỉ công ty theo Nghị định 70/2025,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/xu-ly-hoa-don-khi-thay-doi-dia-chi-ten-cong-ty-ma-so-thue.html,"Xử lý hóa đơn khi thay đổi địa chỉ, tên công ty",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/xu-ly-hoa-don-viet-sai-dia-chi-ma-so-thue-ten-nguoi-mua.html,"Hóa đơn ghi sai MST, tên hàng hóa, tên Cty, địa chỉ - Cách xử lý",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/xu-ly-hoa-don-viet-sai-so-tien-bang-chu-tien-thue.html,"Hóa đơn ghi sai thuế suất, tiền thuế, đơn giá, thành tiền...",gtgt-hoa-don,GTGT - Hóa đơn,thue-suat-doi-tuong,Thuế suất/Đối tượng chịu thuế,rule-thuesuat
thu-vien/xu-ly-su-co-doi-voi-hoa-don-dien-tu-co-ma-cua-co-quan-thue.html,Xử lý sự cố đối với hóa đơn điện tử có mã của cơ quan thuế,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/xuat-hoa-don-cho-khach-le-ca-nhan-nguoi-mua-khong-lay-hoa-don.html,"Xuất hóa đơn cho khách lẻ, cá nhân, người mua không lấy hóa đơn",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
