href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/bang-bang-cham-cong-mau-so-01a-ldtl.html,Mẫu bảng chấm công theo thông tư 200 và TT 133 mới nhất,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-luong-nhan-su,Mẫu lương/nhân sự,rule-luong
thu-vien/bang-cham-cong-lam-them-gio-mau-so-01b-ldtl.html,Mẫu bảng chấm công làm thêm giờ theo thông tư 200 và TT 133 mới nhất,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-luong-nhan-su,Mẫu lương/nhân sự,rule-luong
thu-vien/bang-ke-chi-tien-mau-so-09-tt.html,Mẫu Bảng kê chi tiền 09-TT theo Thông tư 133 và 200,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-chung-tu-tien-thanh-toan,Mẫu chứng từ tiền/thanh toán,rule-tien
thu-vien/bang-ke-mua-hang-mau-so-06-vt.html,Mẫu Bảng kê mua hàng 06-VT theo Thông tư 133 và 200,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-chung-tu-mua-ban-hop-dong,Mẫu chứng từ mua bán/hợp đồng,rule-muaban
thu-vien/bang-ke-mua-lai-co-phieu-mau-so-03-bh.html,Mẫu bảng kê mua lại cổ phiếu mẫu số 03 - BH,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-tai-chinh-von-ngoai-te,Mẫu tài chính vốn/ngoại tệ,rule-von
thu-vien/bang-ke-vang-tien-te-mau-so-07-tt-theo-thong-tu-99.html,Bảng kê vàng tiền tệ Mẫu số 07 -TT theo Thông tư 99,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-tai-chinh-von-ngoai-te,Mẫu tài chính vốn/ngoại tệ,rule-von
thu-vien/bang-kiem-ke-quy-ngoai-te-vang-bac-mau-so-08b-tt.html,"Mẫu Bảng kiểm kê vàng bạc, đá quý 08b-TT theo Thông tư 133 và 200",ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-tai-chinh-von-ngoai-te,Mẫu tài chính vốn/ngoại tệ,rule-von
thu-vien/bang-kiem-ke-quy-tien-mat-mau-so-08a-tt.html,Mẫu Bảng kiểm kê quỹ 08a-TT theo Thông tư 133 và 200,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-chung-tu-tien-thanh-toan,Mẫu chứng từ tiền/thanh toán,rule-tien
thu-vien/bang-kiem-ke-vang-bac-kim-khi-quy-da-quy-mau-so-07-tt.html,"Mẫu Bảng kê vàng bạc, đá quý 07-TT theo Thông tư 133, 200",ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-tai-chinh-von-ngoai-te,Mẫu tài chính vốn/ngoại tệ,rule-von
thu-vien/bang-phan-bo-nguyen-lieu-vat-lieu-cong-cu-dung-cu-mau-so-07-vt.html,"Mẫu Bảng phân bổ nguyên vật liệu, công cụ dụng cụ theo TT 133, 200",ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-kho-vat-tu-ccdc,Mẫu kho/vật tư/CCDC,rule-kho
thu-vien/bang-phan-bo-nguyen-lieu-vat-lieu-cong-cu-dung-cu.html,"Mẫu bảng phân bổ nguyên liệu, vật liệu, công cụ, dụng cụ theo thông tư 99",ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-kho-vat-tu-ccdc,Mẫu kho/vật tư/CCDC,rule-kho
thu-vien/bang-quy-dinh-cac-tieu-chuan-va-dieu-kien-ap-dung-chuc-vu.html,Bảng quy định tiêu chuẩn và điều kiện áp dụng chức danh,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-hanh-chinh-quan-tri-khac,Mẫu hành chính/quản trị khác,rule-hanhchinh
thu-vien/bang-thanh-toan-hang-dai-ly-ky-gui-mau-so-01-bh.html,Mẫu bảng thanh toán hàng đại lý ký gửi theo Thông tư 133 và 200,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,mau-chung-tu-mua-ban-hop-dong,Mẫu chứng từ mua bán/hợp đồng,rule-muaban
