href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,planned_to_topicLv1Key,planned_to_topicLv1Label,planned_to_topicLv2Key,planned_to_topicLv2Label,actual_to_topicLv1Key,actual_to_topicLv1Label,actual_to_topicLv2Key,actual_to_topicLv2Label,status
thu-vien/bien-lai-thu-tien-mau-so-06-tt.html,Mẫu Biên lai thu tiền 06-TT theo Thông tư 133 và 200,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ok
thu-vien/cach-lap-bao-cao-tinh-hinh-tai-chinh-theo-thong-tu-133.html,Mẫu Báo cáo tình hình tài chính theo Thông tư 133 – Cách lập,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,ok
thu-vien/danh-sach-chu-so-huu-huong-loi-cua-doanh-nghiep.html,Danh sách chủ sở hữu hưởng lợi của doanh nghiệp,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,ok
thu-vien/danh-sach-ma-thu-tuc-hanh-chinh-khi-nop-to-khai-thue.html,Danh sách mã thủ tục hành chính khi nộp tờ khai thuế,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,thue,Thuế - Hóa đơn,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/quy-che-dan-chu-o-co-so-tai-noi-lam-viec-theo-nghi-dinh-145.html,Quy chế dân chủ ở cơ sở tại nơi làm việc,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,ok
thu-vien/so-chi-tiet-co-phieu-mua-lai-cua-chinh-minh-theo-thong-tu-99.html,Sổ chi tiết cổ phiếu mua lại của chính mình theo Thông tư 99,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ok
thu-vien/so-chi-tiet-thanh-toan-voi-nguoi-mua-nguoi-ban.html,Mẫu Sổ chi tiết thanh toán với người mua - bán theo TT 133 và 200,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,ok
thu-vien/so-theo-doi-chi-tiet-von-dau-tu-cua-chu-so-huu-theo-thong-tu-99.html,Sổ theo dõi chi tiết vốn đầu tư của chủ sở hữu theo Thông tư 99,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ok
thu-vien/so-theo-doi-thanh-toan-bang-ngoai-te-theo-thong-tu-99.html,Sổ theo dõi thanh toán bằng ngoại tệ theo Thông tư 99,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,ok
thu-vien/the-quay-hang-mau-so-02-bh-theo-thong-tu-99.html,Thẻ quầy hàng - Mẫu số 02-BH theo Thông tư 99,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ok
thu-vien/the-quay-hang-mau-so-02-bh.html,Mẫu thẻ quầy hàng 02-BH theo Thông tư 133 và 200,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ke-toan,Kế toán,mau-bieu-ke-toan,Mẫu biểu kế toán,ok
thu-vien/van-ban-de-nghi-gia-han-nop-tien-thue-tien-phat-mau-01-ghan.html,Mẫu 01/GHAN Văn bản đề nghị gia hạn nộp tiền thuế tiền phạt,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,mau-bieu-thue,Mẫu biểu thuế - hóa đơn,thue,Thuế - Hóa đơn,mau-bieu-thue,Mẫu biểu thuế - hóa đơn,ok
