href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/chi-phi-ve-may-bay-di-cong-tac-hop-ly.html,Quy định về chi phí vé máy bay hợp lệ hợp lý,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/chi-tai-tro-lam-nha-tinh-nghia-cho-nguoi-ngheo-nha-dai-doan-ket.html,"Chi phí tài trợ, làm từ thiện khắc phục hậu quả thiên tai, dịch bệnh",ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/cv-2270-tct-cs-tien-thue-nha-cua-ca-nhan-la-chi-phi-hop-ly.html,Công văn 2270/TCT-CS tiền thuê nhà của cá nhân là chi phí hợp lý,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/ho-tro-chi-phi-mai-tang.html,Hỗ trợ chi phí mai táng theo Nghị định 176/2025/NĐ-CP,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/hoa-don-tien-dien-nuoc-khong-mang-ten-cong-ty.html,Chi phí tiền điện nước khi thuê nhà mang tên chủ nhà,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/nhung-luu-y-khi-thanh-tra-thue-xuong-kiem-tra-dn-xay-dung.html,Những lưu ý khi Thanh tra Thuế xuống kiểm tra DN xây dựng,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,thanh-tra-cong-van-rui-ro,Thanh tra/công văn/rủi ro,thanh-tra-cong-van-rui-ro,Thanh tra/công văn/rủi ro,ok
thu-vien/quy-dinh-ve-chi-phi-cho-nhan-vien-di-nghi-mat-di-lai-ngay-le-tet.html,Các khoản chi có tính chất phúc lợi cho nhân viên hợp lý 2026,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/quy-dinh-ve-thanh-toan-uy-quyen-qua-ben-thu-3.html,Chi phí trước khi thành lập công ty có được trừ 2026,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/thoi-diem-ghi-nhan-doanh-thu-cung-cap-dich-vu.html,Thời điểm ghi nhận doanh thu cung cấp dịch vụ,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,ghi-nhan-doanh-thu,Ghi nhận doanh thu,ghi-nhan-doanh-thu,Ghi nhận doanh thu,ok
thu-vien/thu-tuc-dang-ky-chuong-trinh-ban-hang-khuyen-mai.html,Thủ tục đăng ký chương trình khuyến mại mới nhất theo NĐ 128,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,nghiep-vu-khuyen-mai,Nghiệp vụ khuyến mại,nghiep-vu-khuyen-mai,Nghiệp vụ khuyến mại,ok
thu-vien/tien-phat-vi-pham-hop-dong-kinh-te-co-duoc-cho-vao-chi-phi.html,Tiền phạt vi phạm hợp đồng có tính vào chi phí?,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/xu-ly-khoan-chi-phi-to-chuc-hoi-thao-quang-ba-khuyen-mai.html,Xử lý khoản chi phí tổ chức hội thảo quảng bá khuyến mãi,ke-toan,Kế toán,nghiep-vu-theo-phan-hanh,Nghiệp vụ theo phần hành,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
