href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cac-khoan-chi-phi-duoc-tru-khi-tinh-thue-tndn.html,Các khoản chi phí được trừ khi tính thuế TNDN 2026,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/cac-khoan-chi-phi-khong-duoc-tru-khi-tinh-thue-tndn.html,Các khoản chi phí không được trừ khi tính thuế TNDN 2026,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,chi-phi-duoc-tru-khong-duoc-tru,Chi phí được trừ/không được trừ,ok
thu-vien/cac-khoan-lo-duoc-ket-chuyen-theo-quy-dinh-luat-thue-tndn.html,Cách làm phụ lục chuyển lỗ 03-2/TNDN khi làm tờ khai QTT TNDN 2026,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,uu-dai-mien-giam-chuyen-lo,Ưu đãi/Miễn giảm/Chuyển lỗ,uu-dai-mien-giam-chuyen-lo,Ưu đãi/Miễn giảm/Chuyển lỗ,ok
thu-vien/cac-khoan-thu-nhap-chiu-thue-thu-nhap-doanh-nghiep.html,Các khoản thu nhập chịu thuế thu nhập doanh nghiệp,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,doanh-thu-thu-nhap-tinh-thue,Doanh thu/Thu nhập tính thuế,doanh-thu-thu-nhap-tinh-thue,Doanh thu/Thu nhập tính thuế,ok
thu-vien/cac-khoan-thu-nhap-khac-chiu-thue-tndn.html,Các khoản thu nhập khác chịu thuế TNDN 2026 mới nhất,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,doanh-thu-thu-nhap-tinh-thue,Doanh thu/Thu nhập tính thuế,doanh-thu-thu-nhap-tinh-thue,Doanh thu/Thu nhập tính thuế,ok
thu-vien/cach-chuyen-lo-khi-tinh-quyet-toan-thue-tndn-sang-cac-nam-sau.html,"Cách chuyển lỗ khi tạm tính, quyết toán thuế TNDN 2026",thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,uu-dai-mien-giam-chuyen-lo,Ưu đãi/Miễn giảm/Chuyển lỗ,uu-dai-mien-giam-chuyen-lo,Ưu đãi/Miễn giảm/Chuyển lỗ,ok
thu-vien/cach-hach-toan-chi-phi-thue-tndn-tk-821.html,Cách hạch toán chi phí thuế TNDN - Tài khoản 821 theo TT 200,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,hach-toan-tndn,Hạch toán TNDN,hach-toan-tndn,Hạch toán TNDN,ok
thu-vien/cach-hach-toan-tk-821-theo-thong-tu-99.html,Cách hạch toán TK 821 - Chi phí thuế TNDN theo Thông tư 99,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,hach-toan-tndn,Hạch toán TNDN,hach-toan-tndn,Hạch toán TNDN,ok
thu-vien/cach-ke-khai-thue-thu-nhap-doanh-nghiep-tam-tinh-quy.html,Cách kê khai thuế TNDN tạm tính theo quý,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,ke-khai-tam-nop-quyet-toan,Kê khai/Tạm nộp/Quyết toán,ke-khai-tam-nop-quyet-toan,Kê khai/Tạm nộp/Quyết toán,ok
thu-vien/cach-lam-phu-luc-03-1a-tndn-phu-luc-ket-qua-hoat-dong-san-xuat-kinh-doanh.html,Cách làm Phụ lục 03-1A/TNDN Phụ lục kết quả hoạt động sản xuất kinh doanh,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,ke-khai-tam-nop-quyet-toan,Kê khai/Tạm nộp/Quyết toán,ke-khai-tam-nop-quyet-toan,Kê khai/Tạm nộp/Quyết toán,ok
