href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/giay-nop-tien-vao-ngan-sach-nha-nuoc-mau-c1-02-ns-theo-tt-119.html,"Mẫu giấy nộp tiền vào ngân sách nhà nước 2026 Excel, Word",mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-thue-hoa-don,Excel thuế/hóa đơn,rule-thue
thu-vien/mau-01b-hsb-theo-quyet-dinh-166-excel-moi-nhat.html,Mẫu 01B-HSB theo Quyết định 2222/QĐ-BHXH mới nhất 2025,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-luong-bhxh-nhan-su,Excel lương/BHXH/nhân sự,rule-luong
thu-vien/mau-03-nghi-dinh-119-excel-to-khai-du-lieu-hoa-don-ban-ra.html,Mẫu 03 Tờ khai dữ liệu hóa đơn bán ra theo NĐ 119,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-thue-hoa-don,Excel thuế/hóa đơn,rule-thue
thu-vien/mau-ban-thuyet-minh-bao-cao-tai-chinh-excel-theo-qd-48.html,Mẫu Thuyết minh Báo cáo tài chính Excel theo TT 200 và 133,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-bctc-so-sach-ke-toan,Excel BCTC/sổ sách kế toán,rule-bctc
thu-vien/mau-ban-thuyet-minh-bao-cao-tai-chinh-theo-qd-15-excel.html,Mẫu Bản Thuyết minh Báo cáo tài chính theo QĐ 15 Excel,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-bctc-so-sach-ke-toan,Excel BCTC/sổ sách kế toán,rule-bctc
thu-vien/mau-bang-can-doi-ke-toan-excel-moi-nhat-theo-quyet-dinh-48.html,Mẫu bảng cân đối kế toán Excel theo Thông tư 200,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-bctc-so-sach-ke-toan,Excel BCTC/sổ sách kế toán,rule-bctc
thu-vien/mau-bang-can-doi-ke-toan-theo-quyet-dinh-15-excel-moi-nhat.html,Mẫu bảng cân đối kế toán trên Excel theo QĐ 15,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-bctc-so-sach-ke-toan,Excel BCTC/sổ sách kế toán,rule-bctc
thu-vien/mau-bang-can-doi-so-phat-sinh-tai-khoan-excel-theo-qd-48.html,Mẫu bảng cân đối số phát sinh tài khoản Excel theo QĐ 48,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-bctc-so-sach-ke-toan,Excel BCTC/sổ sách kế toán,rule-bctc
thu-vien/mau-bang-cham-cong-lam-them-gio-excel-2025-moi-nhat.html,Mẫu bảng chấm công làm thêm giờ excel 2025 mới nhất,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-luong-bhxh-nhan-su,Excel lương/BHXH/nhân sự,rule-luong
thu-vien/mau-bang-cham-cong-tren-excel-cho-nhan-vien.html,Mẫu bảng chấm công trên Excel mới nhất năm 2026,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-luong-bhxh-nhan-su,Excel lương/BHXH/nhân sự,rule-luong
thu-vien/mau-bang-ke-mua-vao-ban-ra-tren-file-excel.html,Mẫu bảng kê mua vào bán ra trên File Excel 2026 mới nhất,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-thue-hoa-don,Excel thuế/hóa đơn,rule-thue
thu-vien/mau-bang-thanh-toan-tien-luong-tren-excel.html,Mẫu bảng tính lương trên Excel mới nhất năm 2026,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-luong-bhxh-nhan-su,Excel lương/BHXH/nhân sự,rule-luong
thu-vien/mau-bang-tinh-thue-tncn-tren-excel-2026-cho-doanh-nghiep.html,Mẫu bảng tính thuế TNCN trên Excel 2026 cho doanh nghiệp,mau-file-ke-khai,Mẫu file & kê khai,excel-va-cong-cu-khac,Excel - Công cụ khác,excel-thue-hoa-don,Excel thuế/hóa đơn,rule-thue
