href,title,libraryKindLabel,from_topicLv1Key,from_topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv1Key,to_topicLv1Label,reason
thu-vien/cong-van-3789-tct-cs-xu-phat-lam-mat-hoa-don-theo-hanh-vi.html,Công văn 3789/TCT-CS Xử phạt làm mất hóa đơn theo hành vi,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4153-tct-cs-cach-viet-hoa-don-giam-30-thue-gtgt.html,Công văn 4153/TCT-CS hướng dẫn viết hoá đơn giảm 30% thuế GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4175-bhxh-pc-huong-dan-thuc-hien-qd-1018-qd-bhxh.html,Công văn 4175/BHXH-PC hướng dẫn thực hiện QĐ 1018/QĐ-BHXH,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/cong-van-4291-tct-cs-cho-phep-viet-tat-tren-hoa-don-gtgt.html,Công văn 4291/TCT-CS Cho phép viết tắt trên hóa đơn GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-457-cthn-ttht-hoa-don-dien-tu-chiet-khau-thuong-mai.html,Công văn 457/CTHN-TTHT hóa đơn điện tử chiết khấu thương mại,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4613-ct-cs-khong-nop-thue-van-phai-ke-khai.html,Hộ cá nhân kinh doanh không phải nộp thuế vẫn phải nộp tờ khai,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4818-tct-pc-diem-moi-muc-phat-ve-hoa-don-thue.html,"Công văn 4818/TCT-PC những điểm mới mức phạt về hóa đơn, thuế",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4868-tct-cs-nhung-noi-dung-moi-cua-nghi-dinh-123.html,Công văn 4868/TCT-CS Những nội dung mới của Nghị định 123,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-4943-tct-kk-ke-khai-bo-sung-hoa-don-dieu-chinh.html,"Công văn 4943/TCT-KK Hướng dẫn kê khai bổ sung, hóa đơn điều chỉnh",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-5189-tct-cs-nhung-noi-dung-moi-cua-nghi-dinh-126.html,Công văn 5189/TCT-CS Những nội dung mới của Nghị định 126,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
