href,title,libraryKindLabel,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,target_topicLv1Key,target_topicLv1Label
thu-vien/bang-thanh-toan-tien-luong-mau-so-02-ldtl.html,Mẫu Bảng thanh toán tiền lương theo Thông tư 133 và 200,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/don-de-nghi-huong-tro-cap-thai-san-mau-11a-hsb.html,Đơn đề nghị hưởng trợ cấp thai sản Mẫu 11A-HSB,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/don-de-nghi-huong-tro-cap-thai-san-mau-11b-hsb.html,Đơn đề nghị hưởng trợ cấp thai sản Mẫu 11B-HSB,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/giay-chung-nhan-nghi-viec-huong-bao-hiem-xa-hoi-moi-nhat.html,Giấy chứng nhận nghỉ việc hưởng BHXH mới nhất,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/giay-uy-quyen-mau-so-13-hsb.html,Mẫu giấy ủy quyền nhận thay chế độ BHXH 2025 mới nhất,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/giay-xac-nhan-nghi-viec-de-cham-soc-con-om-dau-mau-05b-hsb.html,Giấy xác nhận về nghỉ việc để chăm sóc con ốm đau Mẫu 05B-HSB,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/hop-dong-dao-tao-nghe-giua-doanh-nghiep-voi-nguoi-lao-dong.html,Hợp đồng đào tạo nghề giữa doanh nghiệp với người lao động và chi phí đào tạo nghề,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/hop-dong-khoan-viec-thue-tncn-thue-tndn-bhxh-chi-phi-luong.html,"Hợp đồng khoán việc: thuế TNCN, Thuế TNDN, BHXH, Chi phí lương",Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/hop-dong-lao-dong-dien-tu.html,Hợp đồng lao động điện tử 2026 theo Nghị định 337/2025/NĐ-CP,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
thu-vien/hop-dong-lao-dong-la-gi.html,Hợp đồng lao động là gì?,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-lao-dong-bao-hiem,Mẫu biểu lao động - bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm
