href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/cac-dieu-kien-ghi-nhan-tai-san-co-dinh-moi-nhat.html,"Điều kiện ghi nhận Tài sản cố định hữu hình, vô hình",ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cac-phuong-phap-tinh-gia-hang-nhap-kho-nvl-thanh-pham.html,Các phương pháp tính giá hàng nhập kho NVL - thành phẩm,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,hang-ton-kho-gia-xuat,Hàng tồn kho/giá xuất kho,rule-tonkho
thu-vien/cac-phuong-phap-tinh-gia-tri-hang-ton-kho.html,Các phương pháp tính giá trị hàng tồn kho theo TT 133 và 200,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,hang-ton-kho-gia-xuat,Hàng tồn kho/giá xuất kho,rule-tonkho
thu-vien/cac-phuong-phap-tinh-gia-xuat-kho.html,Các phương pháp tính giá xuất kho theo thông tư 200 và 133,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,hang-ton-kho-gia-xuat,Hàng tồn kho/giá xuất kho,rule-tonkho
thu-vien/cac-phuong-phap-trich-khau-hao-tai-san-co-dinh-moi-nhat.html,Các phương pháp khấu hao TSCĐ theo quy định,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cac-truong-hop-khong-phai-trich-khau-hao-tscd.html,Các trường hợp không phải trích khấu hao TSCĐ,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cac-truong-hop-thay-doi-nguyen-gia-cua-tscd.html,Các trường hợp thay đổi nguyên giá của tài sản cố định,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cach-lap-bang-tong-hop-chi-tiet-vat-lieu-hang-hoa-dung-cu-san-pham.html,"Cách lập bảng tổng hợp chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa",ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,hang-ton-kho-gia-xuat,Hàng tồn kho/giá xuất kho,rule-tonkho
thu-vien/cach-lap-so-chi-tiet-vat-lieu-dung-cu-san-pham-hang-hoa.html,"Hướng dẫn lập sổ chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa theo Thông tư 200",ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,hang-ton-kho-gia-xuat,Hàng tồn kho/giá xuất kho,rule-tonkho
thu-vien/cach-lap-so-tai-san-co-dinh-the-tai-san-co-dinh.html,Cách lập sổ tài sản cố định theo Thông tư 200,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cach-lap-so-theo-doi-tscd-va-ccdc-tai-noi-su-dung.html,"Cách lập sổ theo dõi TSCĐ, CCDC tại nơi sử dụng",ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
thu-vien/cach-lap-the-tai-san-co-dinh-mau-s23-dn-theo-tt-200.html,Cách lập thẻ tài sản cố định mẫu S23-DN theo TT 200,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,tscd-nguyen-gia-khau-hao,TSCĐ/nguyên giá/khấu hao,rule-tscd
