time,status,severity,section,withLv3,libraryTotal,coverageRatio,ageSeconds,futureTimestamp,missingLv3,nodeGaps,duplicateHref,lv3KeyMultiLabel,lv3LabelMultiKey,jsonArtifact,mdArtifact,buildLog
2026-04-08 03:01:24,PASS,INFO,thu-vien,2039,2039,1.000000,31,0,0,0,0,0,0,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-severity.json,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-severity.md,
2026-04-08 02:46:21,PASS,,thu-vien,2039,2039,1.000000,934,0,0,0,0,0,0,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-rotate.json,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-rotate.md,
2026-04-08 02:43:51,PASS,,thu-vien,2039,2039,1.000000,1084,0,0,0,0,0,0,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-runlog.json,/mnt/d/WORKING/KetoanThienUng/Ketoandieutam.com/.m/reclass/maintenance-qa-smoke-runlog.md,
