href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,to_topicLv1Key,to_topicLv1Label,to_topicLv2Key,to_topicLv2Label,reason
thu-vien/huong-dan-ke-khai-thue-tieu-thu-dac-biet.html,Hướng dẫn kê khai thuế tiêu thụ đặc biệt,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/muc-giam-gia-toi-da-doi-voi-hang-khuyen-mai.html,"Mức giảm giá tối đa đối với hàng hóa, dịch vụ được khuyến mại",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/muc-huong-duong-suc-sau-sinh-de-phuc-hoi-suc-khoe.html,Mức hưởng dưỡng sức sau sinh 2025 để phục hồi sức khỏe,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,bao-hiem,BHXH - BHYT - BHTN,rule-laodong-bh
thu-vien/muc-huong-tro-cap-mot-lan-khi-sinh-con.html,Điều kiện và cách tính mức hưởng trợ cấp một lần khi sinh con 2025,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,bao-hiem,BHXH - BHYT - BHTN,rule-laodong-bh
thu-vien/muc-phat-doi-voi-hanh-vi-tron-thue-gian-lan-thue.html,"Mức phạt hành vi trốn thuế, gian lận thuế",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/muc-phat-khai-khong-day-du-cac-noi-dung-trong-ho-so-thue.html,Mức phạt khai không đầy đủ các nội dung trong hồ sơ thuế,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/nhung-cau-hoi-phong-van-thuong-gap-va-cach-tra-loi.html,Những câu hỏi phỏng vấn thường gặp khi đi xin việc và cách trả lời,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,tham-khao-hoc-lieu,Học liệu - Tham khảo,kinh-nghiem-hoi-dap-nghe-nghiep,Kinh nghiệm - Hỏi đáp - Nghề nghiệp,rule-nghenghiep
thu-vien/nhung-luat-thue-moi-nhat-nam-2015-co-hieu-luc-tu-ngay-1-1-2015.html,Những chính sách thuế mới nhất năm 2017 (Có hiệu lực từ 1/1/2017),tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/nhung-mat-hang-chiu-thue-suat-10.html,Những mặt hàng chịu thuế suất 10% năm 2026,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/quy-dinh-ve-thoi-gian-lam-viec-lam-them-gio-tang-ca.html,"Quy định về thời gian làm việc hành chính, ca đêm",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
