href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/cach-nop-thuyet-minh-bao-cao-tai-chinh-qua-mang.html,Cách nộp BCTC và Thuyết minh BCTC qua mạng 2020 - 2021,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,lap-cac-bao-cao-thanh-phan,Lập các báo cáo thành phần,rule-lap
thu-vien/chuan-muc-ke-toan-so-21-trinh-bay-bao-cao-tai-chinh.html,CHUẨN MỰC KẾ TOÁN SỐ 21 TRÌNH BÀY BÁO CÁO TÀI CHÍNH,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,chuan-muc-trinh-bay-bctc,Chuẩn mực trình bày BCTC,rule-chuanmuc
thu-vien/chuan-muc-ke-toan-so-22-trinh-bay-bo-sung-bao-cao-tai-chinh-cua-cac-ngan-hang-va-to-chuc-tai-chinh-tuong-tu.html,CHUẨN MỰC KẾ TOÁN SỐ 22 - Trình bày bổ sung báo cáo tài chính của các ngân hàng và tổ chức tài chính tương tự,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,vi-pham-dieu-chinh-bctc,Vi phạm/điều chỉnh BCTC,rule-vipham
thu-vien/chuan-muc-ke-toan-so-24-bao-cao-luu-chuyen-tien-te.html,CHUẨN MỰC KẾ TOÁN SỐ 24 - BÁO CÁO LƯU CHUYỂN TIỀN TỆ,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,lap-cac-bao-cao-thanh-phan,Lập các báo cáo thành phần,rule-lap
thu-vien/chuan-muc-ke-toan-so-25-bao-cao-tai-chinh-hop-nhat.html,CHUẨN MỰC KẾ TOÁN SỐ 25 - BÁO CÁO TÀI CHÍNH HỢP NHẤT,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,chuan-muc-trinh-bay-bctc,Chuẩn mực trình bày BCTC,rule-chuanmuc
thu-vien/chuan-muc-ke-toan-so-27-bao-cao-tai-chinh-giua-nien-do.html,CHUẨN MỰC KẾ TOÁN SỐ 27 - BÁO CÁO TÀI CHÍNH GIỮA NIÊN ĐỘ,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,chuan-muc-trinh-bay-bctc,Chuẩn mực trình bày BCTC,rule-chuanmuc
thu-vien/cong-khai-bao-cao-tai-chinh-theo-thong-tu-99.html,Công khai Báo cáo tài chính theo Thông tư 99,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,tong-quan-quy-dinh-nop-bctc,Tổng quan/quy định nộp BCTC,rule-tongquan
thu-vien/muc-phat-vi-pham-ve-bao-cao-tai-chinh.html,Mức phạt chậm nộp BCTC - Làm sai Báo cáo tài chính,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,vi-pham-dieu-chinh-bctc,Vi phạm/điều chỉnh BCTC,rule-vipham
thu-vien/nguyen-tac-lap-va-trinh-bay-bao-cao-tai-chinh-theo-thong-tu-99.html,Các nguyên tắc lập và trình bày Báo cáo tài chính theo Thông tư 99,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,nguyen-tac-trinh-bay-bctc,Nguyên tắc trình bày BCTC,rule-nguyentac
thu-vien/sua-doi-bo-sung-bao-cao-tai-chinh-theo-thong-tu-99.html,"Sửa đổi, bổ sung Báo cáo tài chính theo Thông tư 99",ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,vi-pham-dieu-chinh-bctc,Vi phạm/điều chỉnh BCTC,rule-vipham
thu-vien/thoi-han-nop-bao-cao-tai-chinh-theo-thong-tu-99.html,Thời hạn nộp Báo cáo tài chính theo Thông tư 99,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,tong-quan-quy-dinh-nop-bctc,Tổng quan/quy định nộp BCTC,rule-tongquan
thu-vien/thu-thuat-doc-va-phan-tich-bao-cao-tai-chinh-doanh-nghiep.html,Thủ thuật kiểm tra báo cáo tài chính nhanh và chính xác,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,phan-tich-doc-bctc,Phân tích/đọc BCTC,rule-phan-tich
thu-vien/yeu-cau-doi-voi-thong-tin-trinh-bay-tren-bctc-theo-thong-tu-99.html,Yêu cầu đối với thông tin trình bày trên Báo cáo tài chính theo Thông tư 99,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,nguyen-tac-trinh-bay-bctc,Nguyên tắc trình bày BCTC,rule-nguyentac
