href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cach-ke-khai-thue-nha-thau-nuoc-ngoai.html,Hướng dẫn cách kê khai thuế nhà thầu nước ngoài qua mạng,thue,Thuế - Hóa đơn,thue-nha-thau,Thuế nhà thầu,nha-thau-ke-khai-to-khai,Nhà thầu kê khai/tờ khai,nha-thau-ke-khai-to-khai,Nhà thầu kê khai/tờ khai,ok
thu-vien/cach-lap-to-khai-thue-nha-thau-mau-01-ntnn.html,Cách lập tờ khai thuế nhà thầu mẫu 01/NTNN,thue,Thuế - Hóa đơn,thue-nha-thau,Thuế nhà thầu,nha-thau-ke-khai-to-khai,Nhà thầu kê khai/tờ khai,nha-thau-ke-khai-to-khai,Nhà thầu kê khai/tờ khai,ok
thu-vien/cach-tinh-thue-nha-thau-nuoc-ngoai-moi-nhat-theo-tt-103.html,Cách tính thuế nhà thầu nước ngoài mới nhất,thue,Thuế - Hóa đơn,thue-nha-thau,Thuế nhà thầu,nha-thau-tinh-thue,Nhà thầu tính thuế,nha-thau-tinh-thue,Nhà thầu tính thuế,ok
thu-vien/thu-tuc-dang-ky-thue-nha-thau-nha-thau-phu-nuoc-ngoai.html,Thủ tục đăng ký thuế nhà thầu nước ngoài,thue,Thuế - Hóa đơn,thue-nha-thau,Thuế nhà thầu,nha-thau-dang-ky-thue,Nhà thầu đăng ký thuế,nha-thau-dang-ky-thue,Nhà thầu đăng ký thuế,ok
