href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/bieu-thue-xuat-khau-moi-nhat-hien-nay.html,Biểu thuế xuất khẩu năm 2017 theo Thông tư 182,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-04-vbhn-btc-van-ban-hop-nhat-ve-thue-tncn.html,Thông tư 04/VBHN-BTC văn bản hợp nhất về thuế TNCN,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-tncn,Thông tư TNCN,thong-tu-tncn,Thông tư TNCN,ok
thu-vien/thong-tu-07-2007-ttlt-btm-btc-quy-dinh-ve-khuyen-mai-hoi-cho-trien-lam.html,"Thông tư 07/2007/TTLT-BTM-BTC quy định về khuyến mãi, hội chợ, triển lãm",thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-100-2021-tt-btc-sua-doi-bo-sung-thong-tu-40-2021.html,"Thông tư 100/2021/TT-BTC sửa đổi, bổ sung Thông tư 40/2021",thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-ho-ca-nhan-kinh-doanh,Thông tư Hộ/Cá nhân kinh doanh,thong-tu-ho-ca-nhan-kinh-doanh,Thông tư Hộ/Cá nhân kinh doanh,ok
thu-vien/thong-tu-105-2020-tt-btc-huong-dan-ve-dang-ky-thue.html,Thông tư 105/2020/TT-BTC hướng dẫn về đăng ký thuế,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-mst-dang-ky-thue,Thông tư MST/Đăng ký thuế,thong-tu-mst-dang-ky-thue,Thông tư MST/Đăng ký thuế,ok
thu-vien/thong-tu-111-2013-tt-btc-huong-dan-thi-ha-nh-luat-thue-tncn.html,Thông tư 111/2013/TT-BTC hướng dẫn thi hành Luật thuế TNCN,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-tncn,Thông tư TNCN,thong-tu-tncn,Thông tư TNCN,ok
thu-vien/thong-tu-130-2016-tt-btc-huong-dan-nghi-dinh-100-luat-106.html,"Thông tư 130/2016/TT-BTC hướng dẫn Nghị định 100, Luật 106/2016/QH13",thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-141-2013-tt-btc-thi-hanh-luat-thue-tndn-va-gtgt.html,Thông tư 141/2013/TT-BTC hướng dẫn thi hành luật thuế TNDN và GTGT,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
thu-vien/thong-tu-151-2014-tt-btc-huong-dan-thi-hanh-nd-91-quy-dinh-ve-thue.html,Thông tư 151/2014/TT-BTC hướng dẫn thi hành NĐ 91 quy định về thuế,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-tndn,Thông tư TNDN,thong-tu-tndn,Thông tư TNDN,ok
thu-vien/thong-tu-16-vbhn-btc-van-ban-hop-nhat-ve-thue-gtgt.html,Thông tư 16/VBHN-BTC Văn bản hợp nhất về thuế GTGT,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
thu-vien/thong-tu-166-2013-tt-btc-xu-phat-vi-pham-hanh-chinh-ve-thue.html,Thông tư 166/2013/TT-BTC xử phạt vi phạm hành chính về Thuế,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-ke-khai-quan-ly-thue,Thông tư Kê khai/Quản lý thuế,thong-tu-ke-khai-quan-ly-thue,Thông tư Kê khai/Quản lý thuế,ok
thu-vien/thong-tu-17-vbhn-btc-van-ban-hop-nhat-ve-hoa-don.html,Thông tư 17/VBHN-BTC Văn bản hợp nhất về hóa đơn,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
thu-vien/thong-tu-173-2016-tt-btc-sua-doi-bo-sung-thong-tu-219.html,"Thông tư 173 /2016/TT-BTC sửa đổi, bổ sung Thông tư 219",thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-176-2016-tt-btc-xu-phat-vi-pham-hanh-chinh-ve-hoa-don.html,Thông tư 176/2016/TT-BTC Xử phạt vi phạm hành chính về hóa đơn,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
thu-vien/thong-tu-18-2026-tt-btc-ve-thue-doi-voi-ho-ca-nhan-kinh-doanh.html,"Thông tư 18/2026/TT-BTC quy định về thuế đối với hộ, cá nhân kinh doanh",thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-ho-ca-nhan-kinh-doanh,Thông tư Hộ/Cá nhân kinh doanh,thong-tu-ho-ca-nhan-kinh-doanh,Thông tư Hộ/Cá nhân kinh doanh,ok
thu-vien/thong-tu-18-vbhn-btc-van-ban-hop-nhat-ve-quan-ly-thue.html,Thông tư 18/VBHN-BTC văn bản hợp nhất về quản lý thuế,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-ke-khai-quan-ly-thue,Thông tư Kê khai/Quản lý thuế,thong-tu-ke-khai-quan-ly-thue,Thông tư Kê khai/Quản lý thuế,ok
thu-vien/thong-tu-20-2026-tt-btc-huong-dan-luat-thue-tndn.html,Thông tư 20/2026/TT-BTC hướng dẫn về Thuế TNDN,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-tndn,Thông tư TNDN,thong-tu-tndn,Thông tư TNDN,ok
thu-vien/thong-tu-202-2014-tt-btc-huong-dan-lap-bao-cao-tai-chinh-hop-nhat.html,Thông tư 202/2014/TT-BTC Hướng dẫn lập và trình bày BCTC hợp nhất,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-219-2013-tt-btc-huong-dan-thi-hanh-luat-thue-gtgt.html,Thông tư 219/2013/TT-BTC hướng dẫn thi hành luật thuế GTGT,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
thu-vien/thong-tu-25-2018-tt-btc-huong-dan-nghi-dinh-146-2017-nd-cp.html,Thông tư 25/2018/TT-BTC hướng dẫn Nghị định 146/2017/NĐ-CP,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,thong-tu-chinh-sach-chung,Thông tư Chính sách chung,ok
thu-vien/thong-tu-26-2015-tt-btc-huong-dan-thue-gtgt-va-quan-ly-thue.html,Thông tư 26/2015/TT-BTC hướng dẫn về thuế GTGT và quản lý thuế,thue,Thuế - Hóa đơn,thong-tu,Thông tư,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,thong-tu-gtgt-hoa-don,Thông tư GTGT/Hóa đơn,ok
