href,title,libraryKindLabel,from_topicLv1Key,from_topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv1Key,to_topicLv1Label,reason
thu-vien/luat-thue-gia-tri-gia-tang-hop-nhat.html,Luật thuế giá trị gia tăng hợp nhất,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-gia-tri-gia-tang-sua-doi-so-149-2025-qh15.html,Luật Thuế giá trị gia tăng sửa đổi số 149/2025/QH15,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-gtgt-moi-nhat.html,Luật thuế GTGT 48/2024/QH15 mới nhất có hiệu lực từ 01/07/2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-thu-nhap-doanh-nghiep-so-67-2025-qh15.html,Luật Thuế thu nhập doanh nghiệp 2025 có hiệu lực từ 01/10/2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-tncn-so-109-2025-qh15.html,Luật Thuế TNCN số 109/2025/QH15 áp dụng từ năm 2026,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-viec-lam-so-74-2025-qh15.html,Luật việc làm 2025 số 74/2025/QH15 có hiệu lực từ 01/01/2026,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/nghi-dinh-01-2021-nd-cp-quy-dinh-ve-dang-ky-doanh-nghiep.html,Nghị định 01/2021/NĐ-CP quy định về đăng ký doanh nghiệp,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,title-override-dn
thu-vien/nghi-dinh-04-2014-nd-cp-ve-hoa-don-ban-hang-cung-ung-dich-vu.html,"Nghị định 04/2014/NĐ-CP quy định về hóa đơn bán hàng, cung ứng dịch vụ",Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-100-2016-nd-cp-huong-dan-luat-106-2016.html,Nghị định 100/2016/NĐ-CP Hướng dẫn thi hành Luật 106/2016/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-109-2013-nd-cp-xu-phat-vi-pham-ve-hoa-don-phi-le-phi.html,"Nghị định 109/2013/NĐ-CP Xử phạt vi phạm hành chính về hóa đơn, phí, lệ phí",Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-114-2020-nd-cp-giam-30-thue-tndn-nam-2020.html,Nghị định 114/2020/NĐ-CP giảm 30% thuế TNDN năm 2020,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-115-2015-nd-cp-quy-dinh-luat-bao-hiem-xa-hoi.html,Nghi định 115/2015/NĐ-CP Quy định Luật Bảo hiểm xã hội,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
