href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/bai-bo-le-phi-mon-bai-tu-nam-2026.html,Bãi bỏ lệ phí môn bài từ năm 2026 theo Nghị quyết 198/2025/QH15,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-mien-giam-tam-ngung,Môn bài miễn giảm/tạm ngừng,mon-bai-mien-giam-tam-ngung,Môn bài miễn giảm/tạm ngừng,ok
thu-vien/bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.html,"Báo cáo tình hình sử dụng biên lai điện tử thu thuế, phí, lệ phí",thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-bien-lai-bao-cao,Môn bài biên lai/báo cáo,mon-bai-bien-lai-bao-cao,Môn bài biên lai/báo cáo,ok
thu-vien/cac-bac-thue-mon-bai-moi-nhat.html,Các bậc thuế môn bài năm 2025 mới nhất,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,ok
thu-vien/cach-hach-toan-tien-thue-mon-bai.html,Cách hạch toán lệ phí môn bài phải nộp 2025,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-hach-toan,Môn bài hạch toán,mon-bai-hach-toan,Môn bài hạch toán,ok
thu-vien/cach-lap-to-khai-thue-mon-bai-mau-01-mbai.html,Cách lập tờ khai Lệ phí môn bài 01/LPMB 2026,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-ke-khai-to-khai,Môn bài kê khai/tờ khai,mon-bai-ke-khai-to-khai,Môn bài kê khai/tờ khai,ok
thu-vien/cach-nop-thue-le-phi-mon-bai-qua-mang-dien-tu-bang-ma-id.html,Cách nộp tiền thuế lệ phí môn bài 2025 qua mạng điện tử,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-nop-thue-dien-tu,Môn bài nộp thuế điện tử,mon-bai-nop-thue-dien-tu,Môn bài nộp thuế điện tử,ok
thu-vien/doi-tuong-phai-nop-thue-le-phi-mon-bai.html,Đối tượng phải nộp thuế lệ phí môn bài năm 2025,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,ok
thu-vien/huong-dan-cach-ke-khai-thue-mon-bai-nam-qua-mang.html,Cách kê khai Lệ phí môn bài năm 2026 qua mạng,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-ke-khai-to-khai,Môn bài kê khai/tờ khai,mon-bai-ke-khai-to-khai,Môn bài kê khai/tờ khai,ok
thu-vien/muc-le-phi-mon-bai-ap-dung-cho-van-phong-dai-dien.html,Thuế môn bài đối với Văn phòng đại diện năm 2025,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,mon-bai-muc-thu-doi-tuong,Môn bài mức thu/đối tượng,ok
thu-vien/nhung-truong-hop-duoc-mien-le-phi-mon-bai.html,Những trường hợp được miễn lệ phí môn bài năm 2025,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-mien-giam-tam-ngung,Môn bài miễn giảm/tạm ngừng,mon-bai-mien-giam-tam-ngung,Môn bài miễn giảm/tạm ngừng,ok
thu-vien/tam-ngung-kinh-doanh-co-phai-nop-thue-mon-bai-khong.html,Tạm ngừng kinh doanh có phải nộp thuế môn bài không?,thue,Thuế - Hóa đơn,le-phi-mon-bai,Lệ phí môn bài,mon-bai-nop-thue-dien-tu,Môn bài nộp thuế điện tử,mon-bai-nop-thue-dien-tu,Môn bài nộp thuế điện tử,ok
