href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,to_topicLv1Key,to_topicLv1Label,to_topicLv2Key,to_topicLv2Label,reason
thu-vien/bieu-thue-xuat-khau-moi-nhat-hien-nay.html,Biểu thuế xuất khẩu năm 2017 theo Thông tư 182,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,thong-tu,Thông tư,manual-thue-thongtu
thu-vien/cac-hinh-thuc-khuyen-mai.html,"Các hình thức khuyến mại theo nghị định 81, Luật thương mại",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,manual-dn-thutuc
thu-vien/cac-van-ban-phap-luat-thue-moi-nhat-nam-2015.html,Các văn bản pháp luật thuế mới nhất năm 2015,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,cong-van,Công văn,manual-thue-congvan
thu-vien/danh-muc-benh-can-chua-tri-dai-ngay.html,Danh mục bệnh cần chữa trị dài ngày theo Thông tư 25/2025/TT-BYT,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,bao-hiem,BHXH - BHYT - BHTN,manual-laodong-bh
thu-vien/lenh-dieu-di-cong-tac-cua-cong-ty.html,Quyết định cử đi công tác trong nước và nước ngoài,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,manual-ketoan-chungtu
thu-vien/quy-dinh-ve-giao-dich-lien-ket.html,Quy định về giao dịch liên kết nghị định 132,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,tndn,Thuế thu nhập doanh nghiệp,manual-thue-tndn
thu-vien/quy-dinh-ve-thoi-han-nop-thue.html,Quy định về thời hạn nộp thuế 2026 theo Luật quản lý thuế,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,manual-thue-gtgt
thu-vien/thu-tra-soat-c1-11ns-theo-thong-tu-84.html,Thư tra soát C1-11/NS theo Thông tư 84,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,chung-tu-so-sach,Chứng từ - Sổ sách,manual-thue-chungtu
