href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/thong-tu-03-2015-tt-bldtbxh-dieu-chinh-tien-luong-da-dong-bhxh.html,Thông tư 03/2015/TT-BLĐTBXH điều chỉnh tiền lương đã đóng BHXH,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-bhxh-bhyt-bhtn,Thông tư BHXH/BHYT/BHTN,rule-bhxh
thu-vien/thong-tu-10-2020-tt-bldtbxh-huong-dan-luat-lao-dong.html,Thông tư 10/2020/TT-BLĐTBXH hướng dẫn Luật lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-huong-dan-luat-lao-dong,Thông tư hướng dẫn Luật lao động,rule-huongdan
thu-vien/thong-tu-23-2014-tt-bldtbxh-quy-dinh-ve-tuyen-dung-va-bao-cao-su-dung-lao-dong.html,Thông tư 23/2014/TT-BLĐTBXH Quy định về tuyển dụng và báo cáo sử dụng lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-tuyen-dung-bao-cao-lao-dong,Thông tư tuyển dụng/báo cáo lao động,rule-tuyendung
thu-vien/thong-tu-23-2015-tt-bldtbxh-quy-dinh-ve-tien-luong.html,Thông tư 23/2015/TT-BLĐTBXH quy định về cách tính lương cho người lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-tien-luong,Thông tư tiền lương,rule-luong
thu-vien/thong-tu-59-2015-bldtbxh-huong-dan-luat-bhxh-bat-buoc.html,Thông tư 59/2015/TT-BLĐTBXH hướng dẫn Luật BHXH bắt buộc,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-bhxh-bhyt-bhtn,Thông tư BHXH/BHYT/BHTN,rule-bhxh
thu-vien/thong-tu-so-178-tt-btc-ap-dung-bao-hiem-xa-hoi-viet-nam.html,Thông tư số 178/TT-BTC áp dụng bảo hiểm xã hội việt Nam,lao-dong-bao-hiem,Lao động - Bảo hiểm,thong-tu,Thông tư,tt-bhxh-bhyt-bhtn,Thông tư BHXH/BHYT/BHTN,rule-bhxh
