href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/boi-thuong-tro-cap-tai-nan-lao-dong-benh-nghe-nghiep.html,"Bồi thường, trợ cấp tai nạn lao động, bệnh nghề nghiệp",lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tro-cap-boi-thuong,Trợ cấp/Bồi thường,tro-cap-boi-thuong,Trợ cấp/Bồi thường,ok
thu-vien/cac-hanh-vi-bi-nghiem-cam-trong-linh-vuc-lao-dong.html,7 hành vi bị nghiêm cấm trong lĩnh vực lao động và Mức phạt vi phạm,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,xu-phat-vi-pham-lao-dong,Xử phạt/Vi phạm lao động,xu-phat-vi-pham-lao-dong,Xử phạt/Vi phạm lao động,ok
thu-vien/cac-hinh-thuc-xu-ly-ky-luat-lao-dong-theo-bo-luat-lao-dong.html,Các hình thức xử lý kỷ luật lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,noi-quy-thoa-uoc-ky-luat,Nội quy/Thỏa ước/Kỷ luật,noi-quy-thoa-uoc-ky-luat,Nội quy/Thỏa ước/Kỷ luật,ok
thu-vien/cac-loai-hop-dong-lao-dong-moi-nhat.html,Các loại hợp đồng lao động mới nhất năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,ok
thu-vien/cac-ngay-nghi-le-duoc-huong-luong-va-khong-huo-ng-luong.html,Các ngày nghỉ được hưởng nguyên lương năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cac-noi-dung-bat-buoc-phai-co-trong-hop-dong-lao-dong.html,Các nội dung bắt buộc phải có trong hợp đồng lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,ok
thu-vien/cac-sai-pham-ve-tien-luong-se-bi-xu-phat-vi-pham-hanh-chinh.html,Các sai phạm về tiền lương sẽ bị xử phạt vi phạm hành chính,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cac-truong-hop-cham-dut-hop-dong-lao-dong.html,Các trường hợp chấm dứt hợp đồng lao động,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,ok
thu-vien/cach-hach-toan-phai-tra-nguoi-lao-dong-tk-334.html,Cách hạch toán phải trả người lao động - Tài khoản 334 theo TT 200,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hach-toan-luong,Hạch toán tiền lương,hach-toan-luong,Hạch toán tiền lương,ok
thu-vien/cach-hach-toan-tk-334-theo-thong-tu-99.html,Cách hạch toán TK 334 - Phải trả người lao động theo Thông tư 99,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hach-toan-luong,Hạch toán tiền lương,hach-toan-luong,Hạch toán tiền lương,ok
thu-vien/cach-hach-toan-trich-lap-quy-du-phong-tien-luong.html,Quy định về trích lập quỹ dự phòng tiền lương,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hach-toan-luong,Hạch toán tiền lương,hach-toan-luong,Hạch toán tiền lương,ok
thu-vien/cach-lam-bao-cao-tinh-hinh-su-dung-lao-dong-theo-mau.html,Cách làm báo cáo tình hình sử dụng lao động theo mẫu mới nhất năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,ho-so-thu-tuc-lao-dong,Hồ sơ/Thủ tục lao động,ho-so-thu-tuc-lao-dong,Hồ sơ/Thủ tục lao động,ok
thu-vien/cach-lam-hop-dong-lao-dong-cho-nhan-vien-moi-nhat-nam-2024.html,Cách làm hợp đồng lao động cho nhân viên mới nhất năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,ok
thu-vien/cach-tinh-luong-lam-tang-ca-them-gio-ngay-le.html,Cách tính lương làm tăng ca thêm giờ năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cach-tinh-luong-ngay-nghi-le-tet-huong-nguyen-luong.html,Cách tính lương ngày nghỉ lễ Tết hưởng nguyên lương 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cach-tinh-luong-theo-gio-ngay-tuan-thang-theo-cong-thuc-chuan.html,"Cách tính lương theo giờ, ngày, tuần, tháng theo công thức chuẩn",lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cach-tinh-thue-tncn-doi-voi-hop-dong-thoi-vu-thu-viec.html,"Cách tính thuế TNCN hợp đồng giao khoán việc, dịch vụ, CTV thời vụ",lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,thue-lien-quan-lao-dong,Thuế liên quan lao động,thue-lien-quan-lao-dong,Thuế liên quan lao động,ok
thu-vien/cach-tinh-thue-tncn-hop-dong-thu-viec-cua-nhan-vien-thu-viec.html,Cách tính thuế TNCN hợp đồng thử việc 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,thue-lien-quan-lao-dong,Thuế liên quan lao động,thue-lien-quan-lao-dong,Thuế liên quan lao động,ok
thu-vien/cach-tinh-tien-luong-ngung-viec.html,Cách tính tiền lương ngừng việc 2026 mới nhất,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cach-xay-dung-thang-bang-luong-moi-nhat.html,Cách xây dựng thang bảng lương năm 2026,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,tien-luong-thoi-gio-lam-viec,Tiền lương/Thời giờ làm việc,ok
thu-vien/cap-lai-giay-phep-lao-dong-cho-nguoi-nuoc-ngoai.html,Thủ tục cấp lại giấy phép lao động cho người lao động nước ngoài làm việc tại Việt Nam,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,ho-so-thu-tuc-lao-dong,Hồ sơ/Thủ tục lao động,ho-so-thu-tuc-lao-dong,Hồ sơ/Thủ tục lao động,ok
thu-vien/che-do-tai-nan-lao-dong-benh-nghe-nghiep.html,Chế độ tai nạn lao động – Bệnh nghề nghiệp,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,tro-cap-boi-thuong,Trợ cấp/Bồi thường,tro-cap-boi-thuong,Trợ cấp/Bồi thường,ok
thu-vien/chi-phi-tien-luong-hop-ly-thi-phai-gom-nhung-giay-to-gi.html,Chi phí tiền lương được trừ và không được trừ khi tính thuế TNDN,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,thue-lien-quan-lao-dong,Thuế liên quan lao động,thue-lien-quan-lao-dong,Thuế liên quan lao động,ok
thu-vien/chuyen-nguoi-lao-dong-lam-viec-khac-sang-vi-tri-khac-cong-viec-moi.html,"Chuyển người lao động làm việc khác, sang vị trí khác, công việc mới",lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,hop-dong-quan-he-lao-dong,Hợp đồng/Quan hệ lao động,ok
