href,title,libraryKindLabel,topicLv1Key,topicLv1Label,from_topicLv2Key,from_topicLv2Label,to_topicLv2Key,to_topicLv2Label,reason
thu-vien/bai-bo-le-phi-mon-bai-tu-nam-2026.html,Bãi bỏ lệ phí môn bài từ năm 2026 theo Nghị quyết 198/2025/QH15,Văn bản,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.html,"Báo cáo tình hình sử dụng biên lai điện tử thu thuế, phí, lệ phí",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/cac-bac-thue-mon-bai-moi-nhat.html,Các bậc thuế môn bài năm 2025 mới nhất,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/cach-hach-toan-tien-thue-mon-bai.html,Cách hạch toán lệ phí môn bài phải nộp 2025,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/cach-ke-khai-thue-nha-thau-nuoc-ngoai.html,Hướng dẫn cách kê khai thuế nhà thầu nước ngoài qua mạng,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,rule-nha-thau
thu-vien/cach-ke-khai-thue-voi-thu-nhap-tu-tien-cho-thue-nha.html,Cách kê khai thuế với thu nhập từ tiền cho thuê nhà,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/cach-lap-to-khai-thue-mon-bai-mau-01-mbai.html,Cách lập tờ khai Lệ phí môn bài 01/LPMB 2026,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/cach-lap-to-khai-thue-nha-thau-mau-01-ntnn.html,Cách lập tờ khai thuế nhà thầu mẫu 01/NTNN,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,rule-nha-thau
thu-vien/cach-nop-thue-le-phi-mon-bai-qua-mang-dien-tu-bang-ma-id.html,Cách nộp tiền thuế lệ phí môn bài 2025 qua mạng điện tử,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/cach-tinh-thue-ho-kinh-doanh-theo-phuong-phap-ke-khai.html,Cách tính thuế hộ kinh doanh theo phương pháp kê khai,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/cach-tinh-thue-nha-thau-nuoc-ngoai-moi-nhat-theo-tt-103.html,Cách tính thuế nhà thầu nước ngoài mới nhất,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,rule-nha-thau
thu-vien/cach-tinh-thue-nop-thay-cho-ca-nhan-kinh-doanh.html,Doanh nghiệp nộp thuế thay cho cá nhân kinh doanh,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan-cong-ty-qua-mang.html,"Cách tra cứu mã số thuế Cá nhân, Công ty online",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-mst-dangky
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan.html,"Cách tra cứu mã số thuế cá nhân bằng CCCD, CMND, MST",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-mst-dangky
thu-vien/cau-truc-ma-so-thue.html,"Cấu trúc mã số thuế doanh nghiệp, cá nhân, hộ kinh doanh",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/che-do-ke-toan-cho-ho-kinh-doanh-ca-nhan-kinh-doanh.html,"Thông tư 152/2025/TT-BTC hướng dẫn kế toán cho hộ kinh doanh, cá nhân kinh doanh",Văn bản,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/dang-ky-thue-lan-dau-cua-ca-nhan-ho-kinh-doanh-2025-theo-tt86.html,"Đăng ký thuế lần đầu của cá nhân, hộ kinh doanh mới nhất năm 2025",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/danh-muc-trang-thai-ma-so-thue.html,Danh mục trạng thái mã số thuế theo Thông tư 86/2024/TT-BTC,Văn bản,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-mst-dangky
thu-vien/dia-diem-noi-nop-to-khai-tien-thue-cua-ho-kinh-doanh.html,"Địa điểm, nơi nộp tờ khai, tiền thuế của hộ kinh doanh",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/doi-tuong-phai-dang-ky-thue-cap-ma-so-thue.html,Đối tượng phải đăng ký thuế theo Thông tư 86/2024/TT-BTC,Văn bản,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-mst-dangky
thu-vien/doi-tuong-phai-nop-thue-le-phi-mon-bai.html,Đối tượng phải nộp thuế lệ phí môn bài năm 2025,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/ho-so-ke-khai-thue-cua-ho-ca-nhan-kinh-doanh.html,Hồ sơ kê khai thuế của hộ kinh doanh theo Thông tư 18/2026,Văn bản,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/huong-dan-cach-ke-khai-thue-mon-bai-nam-qua-mang.html,Cách kê khai Lệ phí môn bài năm 2026 qua mạng,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/huong-dan-ho-kinh-doanh-ke-khai-nop-thue-2026.html,Hướng dẫn hộ kinh doanh kê khai nộp thuế 2026,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/huong-dan-tinh-thue-ho-kinh-doanh-ca-the-ca-nhan-kinh-doanh.html,"Cách tính thuế khoán hộ kinh doanh, cá nhân kinh doanh",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,rule-ho-kinh-doanh
thu-vien/muc-le-phi-mon-bai-ap-dung-cho-van-phong-dai-dien.html,Thuế môn bài đối với Văn phòng đại diện năm 2025,Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,rule-default-mon-bai
thu-vien/muc-phat-cham-nop-ho-so-dang-ky-thue-moi-nhat.html,"Mức phạt chậm nộp hồ sơ đăng ký thuế, thay đổi thông tin thuế",Hướng dẫn,thue,Thuế - Hóa đơn,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,rule-mst-dangky
