href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/chi-phi-di-cong-tac-hop-ly-duoc-tru.html,Quy định công tác phí hợp lý của Công ty mới nhất,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,chung-tu-cong-tac-thanh-toan,Chứng từ công tác/thanh toán,rule-congtac
thu-vien/danh-muc-mau-bieu-so-sach-ke-toan-theo-thong-tu-99.html,Danh mục mẫu biểu sổ sách kế toán theo Thông tư 99,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/he-thong-chung-tu-ke-toan-theo-quyet-dinh-15.html,Hệ thống chứng từ kế toán theo quyết định 15,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,he-thong-chung-tu-mau-bieu,Hệ thống chứng từ/mẫu biểu,rule-hethong
thu-vien/he-thong-chung-tu-ke-toan-theo-quyet-dinh-48.html,Hệ thống chứng từ kế toán theo quyết định 48,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,he-thong-chung-tu-mau-bieu,Hệ thống chứng từ/mẫu biểu,rule-hethong
thu-vien/he-thong-mau-chung-tu-ke-toan-theo-thong-tu-133.html,Hệ thống mẫu Chứng từ kế toán theo Thông tư 133,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,he-thong-chung-tu-mau-bieu,Hệ thống chứng từ/mẫu biểu,rule-hethong
thu-vien/he-thong-so-sach-ke-toan-theo-quyet-dinh-15.html,Hệ thống sổ sách kế toán theo quyết định 15,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/he-thong-so-sach-ke-toan-theo-quyet-dinh-48.html,Hệ thống sổ sách kế toán theo Thông tư 133,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/lenh-dieu-di-cong-tac-cua-cong-ty.html,Quyết định cử đi công tác trong nước và nước ngoài,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,chung-tu-cong-tac-thanh-toan,Chứng từ công tác/thanh toán,rule-congtac
thu-vien/muc-phat-vi-pham-quy-dinh-ve-so-ke-toan.html,Mức phạt vi phạm quy định về sổ sách kế toán,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/muc-phat-vi-pham-ve-chung-tu-ke-toan.html,Mức phạt vi phạm quy định về chứng từ kế toán,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,he-thong-chung-tu-mau-bieu,Hệ thống chứng từ/mẫu biểu,rule-hethong
thu-vien/quy-dinh-ve-chung-tu-ke-toan-theo-thong-tu-133.html,Quy định về chứng từ kế toán theo Thông tư 133,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,he-thong-chung-tu-mau-bieu,Hệ thống chứng từ/mẫu biểu,rule-hethong
thu-vien/quy-dinh-ve-so-sach-ke-toan-theo-thong-tu-133.html,Quy định về sổ sách kế toán theo TT 133 và Luật kế toán,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/quy-trinh-luan-chuyen-chung-tu-ke-toan-moi-nhat.html,Quy trình luân chuyển và kiểm tra chứng từ kế toán,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,chung-tu-cong-tac-thanh-toan,Chứng từ công tác/thanh toán,rule-congtac
thu-vien/so-chi-tiet-thanh-toan-voi-nguoi-mua-nguoi-ban.html,Mẫu Sổ chi tiết thanh toán với người mua - bán theo TT 133 và 200,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
thu-vien/trinh-tu-ghi-so-ke-toan-chi-tiet-tu-mo-so-den-in-so.html,Quy trình ghi sổ kế toán chi tiết theo Thông tư 200,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,hinh-thuc-ghi-so-ke-toan,Hình thức ghi sổ kế toán,rule-hinhthuc
thu-vien/xu-phat-khi-lam-sai-so-sach-ke-toan-khong-nop-ho-so-khai-thue.html,Làm sai sổ sách kế toán? Không nộp hồ sơ khai thuế sử phạt thế nào?,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,so-sach-tien-kho-chi-tiet,Sổ sách tiền/kho/chi tiết,rule-sosach
